class,alternative_terms,comments,definitions,editor_notes,has_broad_synonyms,has_exact_synonyms,has_narrow_synonyms,has_related_synonyms,hasSynonyms,in_subsets,labels,superclasses
ENVO_01001314,,"This class aligns to the Coastal and Marine Ecological Classification Standard (CMECS). In ENVO, we may adapt the definition for consistency, but the semantics (meaning) of the term should be unaffected. Please consult the CMECS catalogue (https://cmecscatalog.org/) for authoritative and semantically unconstrained definitions.",A layer of estuarine water which extends from an estuarine pycnocline or mid-depth to the estuarine bed and from the shore to a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters.,"""Mid-depth"", present in many CMECS classes, is ambiguous and needs refinement.",,,,,,"envoCmecs, envoMarine",estuarine coastal lower water column,ENVO_01001301
ENVO_01001315,,"This class aligns to the Coastal and Marine Ecological Classification Standard (CMECS). In ENVO, we may adapt the definition for consistency, but the semantics (meaning) of the term should be unaffected. Please consult the CMECS catalogue (https://cmecscatalog.org/) for authoritative and semantically unconstrained definitions.",A layer of estuarine water which extends a few centimeters from the surface of the water column towards the estuary bed and from a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters until the end of the estuary most distal from the coast.,,,,,,,"envoCmecs, envoMarine",estuarine open water surface layer,"ENVO_01001309, ENVO_01001483, ENVO_01001301"
ENVO_01001316,,"This class aligns to the Coastal and Marine Ecological Classification Standard (CMECS). In ENVO, we may adapt the definition for consistency, but the semantics (meaning) of the term should be unaffected. Please consult the CMECS catalogue (https://cmecscatalog.org/) for authoritative and semantically unconstrained definitions.",A layer of estuarine water which extends from the surface of the water column to the pycnocline or mid-depth and from a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters until the end of the estuary most distal from the coast.,"""Mid-depth"", present in many CMECS classes, is ambiguous and needs refinement.",,,,,,"envoCmecs, envoMarine",estuarine open water upper water column,"ENVO_01001309, ENVO_01001483, ENVO_01001301"
ENVO_01001317,,"This class aligns to the Coastal and Marine Ecological Classification Standard (CMECS). In ENVO, we may adapt the definition for consistency, but the semantics (meaning) of the term should be unaffected. Please consult the CMECS catalogue (https://cmecscatalog.org/) for authoritative and semantically unconstrained definitions.",A layer of fresh estuarine water which extends a few centimeters from the surface of the water column towards the estuary bed and from the land-water interface to a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters.,"What causes this freshwater layer to be ""tidal"" is not clearly specified in the current CMECS definition.",,,,,,"envoCmecs, envoMarine",estuarine tidal riverine coastal surface layer,ENVO_01001302
ENVO_01001318,,"This class aligns to the Coastal and Marine Ecological Classification Standard (CMECS). In ENVO, we may adapt the definition for consistency, but the semantics (meaning) of the term should be unaffected. Please consult the CMECS catalogue (https://cmecscatalog.org/) for authoritative and semantically unconstrained definitions.",A layer of fresh estuarine water which extends from the surface of the water column to the pycnocline or mid-depth and from the land-water interface to a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters.,"""Mid-depth"", present in many CMECS classes, is ambiguous and needs refinement. What causes this freshwater layer to be ""tidal"" is not clearly specified in the current CMECS definition.",,,,,,"envoCmecs, envoMarine",estuarine tidal riverine coastal upper water column,ENVO_01001312
ENVO_01001319,,This class has its subclasses populated by inference.,A body of water which is primarily composed of saline water.,,,saline body of water,,,,,saline water body,ENVO_00000063
ENVO_01001320,,"This class has its subclasses primarily populated by inference. The threshold for what constitutes ""fresh"" water is variable and should typically be deferred to an applicatoin layer resource.","A body of water which is primarily composed of freshwater, with low solute content.",,,"fresh body of water, freshwater body",,,,,fresh water body,ENVO_00000063
ENVO_01001321,,This class has its subclasses populated by inference.,A body of water which is primarily composed of brackish water.,,,brackish body of water,,,,,brackish water body,ENVO_01001319
ENVO_01001322,,"This class aligns to the Coastal and Marine Ecological Classification Standard (CMECS). In ENVO, we may adapt the definition for consistency, but the semantics (meaning) of the term should be unaffected. Please consult the CMECS catalogue (https://cmecscatalog.org/) for authoritative and semantically unconstrained definitions.",A layer of estuarine water which extends from an estuarine pycnocline or mid-depth to the estuary bed and from a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters to end of the estuary most distal from the coast.,"""Mid-depth"", present in many CMECS classes, is ambiguous and needs refinement.",,,,,,"envoCmecs, envoMarine",estuarine open water lower water column,ENVO_01001301
ENVO_01001323,,"This class aligns to the Coastal and Marine Ecological Classification Standard (CMECS). In ENVO, we may adapt the definition for consistency, but the semantics (meaning) of the term should be unaffected. Please consult the CMECS catalogue (https://cmecscatalog.org/) for authoritative and semantically unconstrained definitions.","A pycnocline which is part of an estuarine water body, spanning from a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters until the end of the estuary most distal from the coast.",,,,,,,"envoCmecs, envoMarine",estuarine open water pycnocline,"ENVO_01000259, ENVO_01001301"
ENVO_01001324,,"This class aligns to the Coastal and Marine Ecological Classification Standard (CMECS). In ENVO, we may adapt the definition for consistency, but the semantics (meaning) of the term should be unaffected. Please consult the CMECS catalogue (https://cmecscatalog.org/) for authoritative and semantically unconstrained definitions.",An estuarine coastal pycnocline which is composed primarily of fresh tidal water.,"What causes this freshwater layer to be ""tidal"" is not clearly specified in the current CMECS definition. Further, the original definition and label do not clearly state whether this is a pycnocline in its own right, or just the tidal freshwater part of the pycnocline. In this ENVO class, we follow the semantics suggested by the label and treat this as a type of estuarine coastal pycnocline.",,,,,,"envoCmecs, envoMarine",estuarine tidal riverine coastal pycnocline,ENVO_01001313
ENVO_01001325,,"This class aligns to the Coastal and Marine Ecological Classification Standard (CMECS). In ENVO, we may adapt the definition for consistency, but the semantics (meaning) of the term should be unaffected. Please consult the CMECS catalogue (https://cmecscatalog.org/) for authoritative and semantically unconstrained definitions.",A layer of fresh estuarine water which extends from an estuarine pycnocline or mid-depth to the estuarine bed and from the land-water interface to a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters.,"""Mid-depth"", present in many CMECS classes, is ambiguous and needs refinement. What causes this freshwater layer to be ""tidal"" is not clearly specified in the current CMECS definition.",,,,,,"envoCmecs, envoMarine",estuarine tidal riverine coastal lower water column,ENVO_01001314
ENVO_01001326,,"This class aligns to the Coastal and Marine Ecological Classification Standard (CMECS). In ENVO, we may adapt the definition for consistency, but the semantics (meaning) of the term should be unaffected. Please consult the CMECS catalogue (https://cmecscatalog.org/) for authoritative and semantically unconstrained definitions.","A layer of fresh, tidal estuarine water which extends a few centimeters from the surface of the water column towards the estuary bed and from a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters until the end of the estuary most distal from the coast.","What causes this freshwater layer to be ""tidal"" is not clearly specified in the current CMECS definition.",,,,,,"envoCmecs, envoMarine",estuarine tidal riverine open water surface layer,ENVO_01001315
